Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
301,New York Institute of Technology,Private School,"$68,200 ","$119,200 ",49%,30%
302,Long Island University,Private School,"$62,600 ","$119,100 ",49%,6%
302,Mount Saint Mary's University,"Private School, Religious","$70,000 ","$119,100 ",59%,4%
302,Boston Architectural College,Private School,"$61,200 ","$119,100 ",63%,0%
305,Allegheny College,"Liberal Arts School, Private School, Religious","$60,100 ","$119,000 ",45%,31%
306,Gustavus Adolphus College,"Liberal Arts School, Private School, Religious","$62,800 ","$118,900 ",51%,18%
307,Lynn University,Private School,"$55,700 ","$118,800 ",45%,4%
307,University of Idaho,"Research University, For Sports Fans, State School","$63,700 ","$118,800 ",55%,23%
307,Michigan State University,"Research University, For Sports Fans, State School","$68,000 ","$118,800 ",45%,24%
307,University of New Hampshire-Main Campus,"Research University, For Sports Fans, State School","$67,400 ","$118,800 ",53%,24%
307,Iowa State University,"Research University, For Sports Fans, State School","$69,200 ","$118,800 ",50%,37%
312,Sacred Heart University,"Private School, Religious, For Sports Fans","$67,800 ","$118,700 ",50%,8%
312,San Francisco State University,"Research University, State School","$71,200 ","$118,700 ",52%,15%
314,CUNY Brooklyn College,State School,"$63,500 ","$118,600 ",47%,11%
314,California State University-Fresno,"Research University, For Sports Fans, State School","$62,700 ","$118,600 ",57%,10%
316,Fairleigh Dickinson University-Florham Campus,"Private School, For Sports Fans","$64,500 ","$118,500 ",46%,11%
316,Fairleigh Dickinson University-Florham Campus,"Private School, For Sports Fans","$64,500 ","$118,500 ",46%,11%
316,Texas A & M University-Kingsville,"Research University, State School","$64,200 ","$118,500 ",61%,35%
319,Montclair State University,"Research University, State School","$61,100 ","$118,400 ",43%,9%
320,Westminster College (Missouri),"Liberal Arts School, Private School, Religious","$55,600 ","$118,300 ",39%,24%
321,University of North Carolina at Chapel Hill,"Research University, For Sports Fans, State School","$68,800 ","$118,200 ",47%,23%
321,West Virginia University,"Party School, Research University, For Sports Fans, State School","$65,900 ","$118,200 ",54%,22%
321,California State University-Fullerton,"Research University, For Sports Fans, State School","$62,800 ","$118,200 ",50%,13%
321,St. Mary's College of Maryland,"Liberal Arts School, State School","$64,300 ","$118,200 ",51%,23%
325,Dunwoody College of Technology,Private School,"$65,700 ","$118,100 ",67%,18%
325,University of Kansas,"Research University, For Sports Fans, State School","$64,900 ","$118,100 ",52%,17%
327,Bryn Mawr College,"Liberal Arts School, Private School","$69,700 ","$118,000 ",41%,25%
327,Arizona State University Campus Immersion,"Research University, For Sports Fans, State School","$66,800 ","$118,000 ",52%,27%
327,Loma Linda University,"Private School, Religious","$83,900 ","$118,000 ",87%,2%
330,LeTourneau University,"Private School, Religious","$73,300 ","$117,900 ",51%,27%
331,University of Michigan-Dearborn,State School,"$68,000 ","$117,800 ",41%,44%
331,Assumption University,"Private School, Religious","$64,100 ","$117,800 ",56%,10%
333,The University of Texas at Arlington,"Research University, For Sports Fans, State School","$68,200 ","$117,700 ",55%,20%
334,Oregon Health & Science University,State School,"$82,100 ","$117,600 ",77%,8%
334,Pacific University,Private School,"$58,100 ","$117,600 ",69%,8%
334,Norwich University,Private School,"$69,000 ","$117,600 ",53%,23%
337,University of Mary Washington,State School,"$65,000 ","$117,500 ",52%,18%
337,Washington & Jefferson College,"Liberal Arts School, Private School","$60,900 ","$117,500 ",40%,30%
337,California State University-Stanislaus,State School,"$62,000 ","$117,500 ",57%,9%
337,California State University-Sacramento,"For Sports Fans, State School","$66,800 ","$117,500 ",54%,16%
341,The University of Texas at Dallas,"Research University, State School","$72,000 ","$117,400 ",46%,47%
342,University of Scranton,"Private School, Religious","$65,700 ","$117,300 ",42%,13%
342,Indiana University-Bloomington,"Research University, For Sports Fans, State School","$65,800 ","$117,300 ",49%,18%
342,California State University-Northridge,"For Sports Fans, State School","$63,200 ","$117,300 ",51%,13%
342,University of Alaska Anchorage,State School,"$68,600 ","$117,300 ",58%,9%
342,University of Minnesota-Duluth,State School,"$65,800 ","$117,300 ",53%,34%
347,Oklahoma State University-Main Campus,"Research University, For Sports Fans, State School","$63,900 ","$117,200 ",56%,24%
347,Drew University,"Liberal Arts School, Private School, Religious","$65,600 ","$117,200 ",38%,18%
347,Saint Michael's College,"Liberal Arts School, Private School, Religious","$61,600 ","$117,200 ",48%,21%
347,Western New England University,Private School,"$71,000 ","$117,200 ",45%,21%
351,North Dakota State University-Main Campus,"Research University, For Sports Fans, State School","$66,600 ","$117,100 ",59%,26%
351,Emerson College,Private School,"$61,100 ","$117,100 ",40%,0%
353,Ramapo College of New Jersey,State School,"$62,400 ","$117,000 ",42%,12%
353,University of Wisconsin-Platteville,State School,"$70,900 ","$117,000 ",49%,37%
353,University of Nebraska-Lincoln,"Research University, For Sports Fans, State School","$63,000 ","$117,000 ",53%,22%
356,Ohio State University-Main Campus,"Research University, For Sports Fans, State School","$69,100 ","$116,900 ",49%,27%
356,Principia College,"Liberal Arts School, Private School","$68,100 ","$116,900 ",61%,19%
358,Biola University,"Private School, Religious, Research University","$63,000 ","$116,800 ",62%,6%
359,University of Oklahoma-Norman Campus,"Research University, For Sports Fans, State School","$66,400 ","$116,700 ",52%,22%
360,Rider University,"Private School, For Sports Fans","$62,700 ","$116,500 ",42%,5%
360,SUNY College at Geneseo,State School,"$62,900 ","$116,500 ",44%,21%
362,Chapman University,"Private School, Religious","$67,800 ","$116,400 ",45%,8%
362,Mount St. Mary's University,"Private School, Religious","$60,800 ","$116,400 ",43%,14%
364,Hartwick College,"Liberal Arts School, Private School","$62,500 ","$116,300 ",58%,12%
364,Polytechnic University of Puerto Rico-Orlando,Private School,"$67,600 ","$116,300 ",-,47%
364,Colorado State University-Fort Collins,"Research University, For Sports Fans, State School","$65,900 ","$116,300 ",51%,29%
367,Oberlin College,"Liberal Arts School, Private School","$67,000 ","$116,100 ",48%,27%
367,Duquesne University,"Private School, Religious, Research University, For Sports Fans","$64,900 ","$116,100 ",50%,11%
367,Point Loma Nazarene University,"Private School, Religious","$64,600 ","$116,100 ",66%,10%
370,Brigham Young University-Idaho,"Private School, Religious","$65,200 ","$115,900 ",64%,14%
371,Prairie View A & M University,"Research University, For Sports Fans, State School","$70,700 ","$115,800 ",65%,24%
372,Dickinson College,"Liberal Arts School, Private School","$68,000 ","$115,700 ",41%,24%
372,Christian Brothers University,"Private School, Religious","$62,000 ","$115,700 ",60%,32%
372,University of Alaska Fairbanks,"Research University, State School","$70,000 ","$115,700 ",54%,17%
375,Lewis & Clark College,"Liberal Arts School, Private School","$62,400 ","$115,600 ",59%,10%
375,The Juilliard School,"Art, Private School","$60,800 ","$115,600 ",-,0%
377,Saint Edward's University,"Private School, Religious","$62,100 ","$115,500 ",43%,12%
377,Hamline University,"Private School, Religious","$60,700 ","$115,500 ",52%,7%
379,Wheaton College (Massachusetts),"Liberal Arts School, Private School","$62,200 ","$115,400 ",56%,27%
379,William Jewell College,"Liberal Arts School, Private School","$59,700 ","$115,400 ",71%,13%
379,McDaniel College,"Liberal Arts School, Private School","$61,100 ","$115,400 ",60%,7%
382,Nichols College,"Business, Private School","$66,200 ","$115,200 ",45%,0%
382,Stevenson University,Private School,"$61,500 ","$115,200 ",53%,16%
384,Linfield University-McMinnville Campus,"Liberal Arts School, Private School","$63,400 ","$115,100 ",52%,15%
384,Manhattanville College,Private School,"$67,300 ","$115,100 ",42%,5%
384,Touro College,Private School,"$70,000 ","$115,100 ",55%,8%
384,Northern Illinois University,"Research University, For Sports Fans, State School","$65,200 ","$115,100 ",48%,17%
384,Pacific Union College,"Liberal Arts School, Private School, Religious","$67,300 ","$115,100 ",77%,11%
384,University of Maryland Global Campus,State School,"$67,800 ","$115,100 ",60%,28%
390,Holy Cross College,"Liberal Arts School, Private School, Religious","$60,300 ","$115,000 ",-,4%
390,University of Colorado Denver/Anschutz Medical Campus,"Research University, State School","$65,300 ","$115,000 ",54%,18%
392,Loras College,"Private School, Religious","$59,300 ","$114,900 ",60%,15%
393,University of Arkansas,"Research University, For Sports Fans, State School","$65,200 ","$114,800 ",52%,19%
393,Suffolk University,"Private School, Research University","$65,500 ","$114,800 ",37%,7%
393,Kansas State University,"Research University, For Sports Fans, State School","$64,800 ","$114,800 ",54%,20%
396,University of North Dakota,"Research University, For Sports Fans, State School","$65,800 ","$114,700 ",48%,17%
396,Salve Regina University,"Private School, Religious","$66,000 ","$114,700 ",40%,5%
396,Alma College,"Liberal Arts School, Private School, Religious","$59,300 ","$114,700 ",53%,20%
399,University at Buffalo,"Research University, For Sports Fans, State School","$67,100 ","$114,500 ",47%,35%
399,Otis College of Art and Design,"Art, Private School","$65,200 ","$114,500 ",40%,0%
401,Saint Peter's University,"Private School, Religious, For Sports Fans","$62,300 ","$114,400 ",37%,16%
402,CUNY Queens College,State School,"$65,200 ","$114,300 ",53%,13%
402,College of Mount Saint Vincent,"Private School, Religious","$61,700 ","$114,300 ",55%,4%
404,Central Washington University,State School,"$65,200 ","$114,200 ",49%,13%
404,University of Massachusetts-Dartmouth,"Research University, State School","$66,200 ","$114,200 ",47%,20%
406,Saint Anselm College,"Liberal Arts School, Private School, Religious","$68,700 ","$114,100 ",56%,15%
407,Excelsior College,Private School,"$66,900 ","$114,000 ",66%,1%
407,Cornell College,"Liberal Arts School, Private School, Religious","$63,100 ","$114,000 ",47%,24%
409,Temple University,"Research University, For Sports Fans, State School","$65,500 ","$113,900 ",44%,15%
409,Lamar University,"Research University, For Sports Fans, State School","$65,800 ","$113,900 ",59%,9%
409,Macalester College,"Liberal Arts School, Private School, Religious","$65,900 ","$113,900 ",61%,35%
412,Kennesaw State University,"Research University, State School","$65,700 ","$113,800 ",50%,28%
412,New England Institute of Technology,Private School,"$65,800 ","$113,800 ",47%,13%
412,Widener University,"Private School, Research University","$67,600 ","$113,800 ",58%,10%
412,University of Houston-Clear Lake,State School,"$60,900 ","$113,800 ",47%,19%
416,University of Cincinnati-Main Campus,"Research University, For Sports Fans, State School","$65,900 ","$113,600 ",51%,22%
416,Montana State University,"Research University, For Sports Fans, State School","$64,900 ","$113,600 ",58%,31%
416,Mount Holyoke College,"Liberal Arts School, Private School","$64,900 ","$113,600 ",58%,28%
419,St Bonaventure University,"Private School, Religious, For Sports Fans","$59,600 ","$113,500 ",39%,11%
420,Vaughn College of Aeronautics and Technology,Private School,"$66,000 ","$113,400 ",40%,6%
421,College of Staten Island CUNY,State School,"$63,800 ","$113,300 ",43%,16%
421,Felician University,"Private School, Religious","$63,000 ","$113,300 ",52%,14%
423,Gordon College,"Liberal Arts School, Private School, Religious, Sober School","$60,700 ","$113,200 ",51%,16%
424,CUNY Hunter College,"Sober School, State School","$65,100 ","$113,100 ",48%,10%
424,Concordia University-Irvine,"Private School, Religious","$63,200 ","$113,100 ",57%,2%
424,The University of Alabama,"Party School, Research University, For Sports Fans, State School","$65,600 ","$113,100 ",50%,17%
424,Quinnipiac University,"Private School, For Sports Fans","$69,000 ","$113,100 ",46%,12%
428,The University of Texas Health Science Center at Houston,State School,"$80,900 ","$113,000 ",86%,14%
429,Xavier University,"Private School, Religious, For Sports Fans","$64,400 ","$112,900 ",45%,5%
429,Shepherd University,"Liberal Arts School, State School","$59,400 ","$112,900 ",55%,16%
429,University of New Haven,Private School,"$63,100 ","$112,900 ",53%,25%
429,Goucher College,"Liberal Arts School, Private School","$60,600 ","$112,900 ",45%,9%
433,Louisiana Tech University,"Research University, For Sports Fans, State School","$64,700 ","$112,800 ",55%,26%
434,The University of Texas Medical Branch at Galveston,State School,"$72,000 ","$112,700 ",86%,4%
434,St. Mary's University,"Private School, Religious","$64,500 ","$112,700 ",62%,19%
434,Illinois State University,"Research University, For Sports Fans, State School","$62,000 ","$112,700 ",47%,10%
434,Regis University,"Private School, Religious","$67,200 ","$112,700 ",61%,15%
434,San Francisco Art Institute,"Art, Private School","$65,400 ","$112,700 ",33%,0%
439,Creighton University,"Private School, Religious, For Sports Fans","$66,400 ","$112,500 ",55%,9%
440,The University of Tampa,Private School,"$60,800 ","$112,400 ",49%,16%
440,Valparaiso University,"Private School, Religious, For Sports Fans","$65,100 ","$112,400 ",51%,26%
440,Washington Adventist University,"Private School, Religious","$64,600 ","$112,400 ",69%,3%
443,Farmingdale State College,State School,"$65,100 ","$112,300 ",50%,11%
443,Utah State University,"Research University, For Sports Fans, State School","$64,300 ","$112,300 ",62%,13%
443,McMurry University,"Private School, Religious","$62,500 ","$112,300 ",63%,12%
446,Ohio University-Main Campus,"Research University, For Sports Fans, State School","$63,100 ","$112,200 ",48%,11%
446,City University of Seattle,Private School,"$61,800 ","$112,200 ",55%,10%
446,Utah Valley University,"For Sports Fans, State School","$62,900 ","$112,200 ",59%,10%
446,Brigham Young University-Hawaii,"Private School, Religious","$61,700 ","$112,200 ",60%,16%
446,Woodbury University,Private School,"$61,700 ","$112,200 ",47%,0%
451,California State University-San Marcos,State School,"$64,300 ","$112,000 ",50%,14%
452,Florida State University,"Party School, Research University, For Sports Fans, State School","$62,500 ","$111,900 ",48%,17%
453,Lebanon Valley College,"Private School, Religious","$62,300 ","$111,800 ",41%,9%
454,Canisius College,"Private School, Religious, For Sports Fans","$58,200 ","$111,700 ",47%,14%
454,University of North Carolina at Charlotte,"Research University, For Sports Fans, State School","$64,700 ","$111,700 ",50%,28%
454,North Carolina A & T State University,"Research University, For Sports Fans, State School","$65,400 ","$111,700 ",63%,28%
454,Roger Williams University,Private School,"$66,300 ","$111,700 ",44%,13%
454,California State University-Bakersfield,"For Sports Fans, State School","$59,000 ","$111,700 ",56%,12%
454,University of Kentucky,"Research University, For Sports Fans, State School","$63,200 ","$111,700 ",48%,19%
454,Towson University,"For Sports Fans, State School","$62,700 ","$111,700 ",50%,18%
461,Southwestern University,"Liberal Arts School, Private School, Religious","$62,300 ","$111,600 ",47%,21%
461,California State University-Los Angeles,State School,"$60,800 ","$111,600 ",54%,15%
461,Birmingham-Southern College,"Liberal Arts School, Private School, Religious","$64,200 ","$111,600 ",40%,22%
464,University of New Mexico-Main Campus,"Research University, For Sports Fans, State School","$58,100 ","$111,400 ",59%,19%
464,Saint Xavier University,"Private School, Religious","$61,000 ","$111,400 ",58%,13%
466,Scripps College,"Liberal Arts School, Private School","$69,000 ","$111,300 ",47%,27%
466,Centenary College of Louisiana,"Liberal Arts School, Private School, Religious","$58,400 ","$111,300 ",38%,36%
468,University of Nevada-Reno,"Research University, For Sports Fans, State School","$64,100 ","$111,200 ",47%,26%
469,Rutgers University-Camden,"For Sports Fans, State School","$61,600 ","$111,000 ",48%,8%
469,St. Francis College,"Private School, For Sports Fans","$63,500 ","$111,000 ",54%,11%
469,Hendrix College,"Liberal Arts School, Private School, Religious","$56,900 ","$111,000 ",64%,28%
469,Mississippi State University,"Research University, For Sports Fans, State School","$62,700 ","$111,000 ",56%,29%
473,Cornish College of the Arts,"Art, Private School","$63,300 ","$110,900 ",41%,0%
473,Oakland University,"Research University, For Sports Fans, State School","$62,500 ","$110,900 ",48%,22%
473,Millsaps College,"Liberal Arts School, Private School, Religious","$59,700 ","$110,900 ",65%,26%
476,Thomas Edison State University,State School,"$64,200 ","$110,800 ",58%,1%
476,SUNY at Purchase College,"Liberal Arts School, State School","$62,100 ","$110,800 ",42%,6%
476,Abilene Christian University,"Private School, Religious, For Sports Fans","$61,500 ","$110,800 ",49%,7%
476,University of Hawaii at Manoa,"Research University, For Sports Fans, State School","$63,900 ","$110,800 ",59%,19%
480,New Mexico State University-Main Campus,"Research University, For Sports Fans, State School","$59,500 ","$110,700 ",58%,25%
481,CUNY City College,State School,"$68,000 ","$110,500 ",56%,30%
481,Vermont Technical College,State School,"$66,200 ","$110,500 ",46%,4%
481,The University of Tennessee-Knoxville,"Research University, For Sports Fans, State School","$62,900 ","$110,500 ",55%,21%
481,Saint Louis University,"Private School, Religious, Research University, For Sports Fans","$65,400 ","$110,500 ",56%,16%
485,University of Maine,"Party School, Research University, For Sports Fans, State School","$65,800 ","$110,400 ",50%,21%
486,Southwestern Oklahoma State University,State School,"$57,900 ","$110,300 ",65%,5%
486,Thomas More College of Liberal Arts,"Liberal Arts School, Private School, Religious","$61,800 ","$110,300 ",-,0%
486,Calvin University,"Private School, Religious, Sober School","$60,000 ","$110,300 ",53%,22%
489,Fairleigh Dickinson University-Metropolitan Campus,Private School,"$64,100 ","$110,200 ",45%,12%
490,Elon University,"Party School, Private School, For Sports Fans","$66,400 ","$110,100 ",44%,7%
490,Shippensburg University of Pennsylvania,State School,"$60,000 ","$110,100 ",50%,11%
490,University of South Florida,"Research University, For Sports Fans, State School","$62,000 ","$110,100 ",50%,24%
490,Thomas Aquinas College,"Liberal Arts School, Private School, Religious, Sober School","$61,200 ","$110,100 ",-,0%
494,Alfred University,Private School,"$58,500 ","$110,000 ",44%,21%
494,University of North Texas,"Research University, For Sports Fans, State School","$61,500 ","$110,000 ",48%,17%
494,Rush University,Private School,"$77,100 ","$110,000 ",85%,5%
497,Universidad Politecnica de Puerto Rico,"Engineering, Private School","$65,700 ","$109,900 ",64%,64%
498,University of Wyoming,"Research University, For Sports Fans, State School","$63,700 ","$109,800 ",62%,23%
498,Augustana University,"Private School, Religious","$57,600 ","$109,800 ",52%,17%
498,Central Connecticut State University,"For Sports Fans, State School","$66,600 ","$109,800 ",42%,15%
501,Le Moyne College,"Private School, Religious","$61,700 ","$109,700 ",47%,14%
501,SUNY College at Old Westbury,State School,"$59,600 ","$109,700 ",48%,10%
501,Bennington College,"Liberal Arts School, Private School","$57,500 ","$109,700 ",46%,4%
504,Knox College,"Liberal Arts School, Private School","$64,500 ","$109,600 ",40%,28%
504,University of Colorado Colorado Springs,State School,"$63,700 ","$109,600 ",56%,23%
504,Benedictine College,"Private School, Religious","$59,400 ","$109,600 ",61%,17%
504,Berklee College of Music,"Art, Private School","$59,800 ","$109,600 ",49%,23%
504,Massachusetts College of Art and Design,"Art, State School","$62,300 ","$109,600 ",36%,0%
509,Monmouth University,"Private School, For Sports Fans","$63,000 ","$109,500 ",42%,8%
509,Stetson University,"Private School, For Sports Fans","$56,800 ","$109,500 ",45%,8%
511,Tennessee Technological University,"Research University, For Sports Fans, State School","$66,300 ","$109,400 ",51%,26%
511,California Institute of the Arts,"Art, Private School","$68,500 ","$109,400 ",51%,3%
511,Rockhurst University,"Private School, Religious","$63,000 ","$109,400 ",55%,7%
514,California State University-Channel Islands,State School,"$61,800 ","$109,200 ",47%,15%
514,Saint Mary's College,"Liberal Arts School, Private School, Religious","$58,100 ","$109,200 ",42%,17%
516,Messiah University,"Private School, Religious","$61,300 ","$109,100 ",56%,13%
516,Lycoming College,"Liberal Arts School, Private School, Religious","$58,100 ","$109,100 ",49%,21%
516,Westminster College (Utah),Private School,"$61,800 ","$109,100 ",55%,11%
516,Linfield University-Online and Continuing Education,Private School,"$61,700 ","$109,100 ",50%,3%
516,Ripon College,"Liberal Arts School, Private School","$57,000 ","$109,100 ",64%,18%
516,University of Bridgeport,Private School,"$60,100 ","$109,100 ",53%,9%
516,Frostburg State University,State School,"$61,100 ","$109,100 ",53%,13%
523,Portland State University,"Research University, For Sports Fans, State School","$63,200 ","$109,000 ",48%,18%
523,New College of Florida,"Liberal Arts School, State School","$54,600 ","$109,000 ",46%,0%
523,Saint Mary's University of Minnesota,"Private School, Religious","$64,900 ","$109,000 ",51%,5%
523,Saint Cloud State University,State School,"$64,600 ","$109,000 ",53%,20%
523,"University of Maryland, Baltimore",State School,"$72,300 ","$109,000 ",74%,2%
528,SUNY Polytechnic Institute,State School,"$63,700 ","$108,900 ",44%,39%
528,University of Wisconsin-Eau Claire,State School,"$63,500 ","$108,900 ",49%,12%
528,Carroll College,"Private School, Religious","$58,800 ","$108,900 ",54%,27%
531,Bloomsburg University of Pennsylvania,State School,"$59,500 ","$108,800 ",52%,11%
531,Texas Tech University Health Sciences Center,State School,"$73,500 ","$108,800 ",84%,3%
531,Houston Baptist University,"Private School, Religious, For Sports Fans","$60,900 ","$108,800 ",63%,6%
531,Georgia State University,"Research University, For Sports Fans, State School","$63,500 ","$108,800 ",48%,20%
531,California State Polytechnic University-Humboldt,State School,"$56,500 ","$108,800 ",57%,18%
531,Western Michigan University,"Research University, For Sports Fans, State School","$63,000 ","$108,800 ",51%,16%
531,Trine University,Private School,"$66,900 ","$108,800 ",52%,33%
538,University of Oklahoma-Health Sciences Center,State School,"$67,900 ","$108,700 ",-,3%
538,University of Louisiana at Monroe,"Research University, For Sports Fans, State School","$59,100 ","$108,700 ",65%,8%
540,William Paterson University of New Jersey,State School,"$60,400 ","$108,600 ",43%,9%
540,SUNY College of Technology at Delhi,State School,"$59,700 ","$108,600 ",52%,1%
540,West Virginia Wesleyan College,"Private School, Religious","$54,400 ","$108,600 ",53%,18%
540,Bon Secours Memorial College of Nursing,"Private School, Religious","$68,400 ","$108,600 ",-,0%
540,Randolph College,"Liberal Arts School, Private School","$59,400 ","$108,600 ",49%,23%
545,University of North Georgia,State School,"$57,700 ","$108,500 ",50%,11%
545,Wilkes University,Private School,"$63,400 ","$108,500 ",54%,11%
545,Augsburg University,"Private School, Religious","$62,800 ","$108,500 ",55%,8%
548,Hampton University,"Private School, For Sports Fans","$63,900 ","$108,400 ",57%,15%
548,Louisiana State University Health Sciences Center-Shreveport,State School,"$64,800 ","$108,400 ",-,5%
548,Eckerd College,"Liberal Arts School, Private School, Religious","$62,500 ","$108,400 ",49%,38%
548,University of Evansville,"Private School, Religious, For Sports Fans","$60,100 ","$108,400 ",50%,20%
552,The University of Texas Health Science Center at San Antonio,State School,"$69,700 ","$108,300 ",84%,5%
552,Notre Dame de Namur University,"Private School, Religious","$69,300 ","$108,300 ",68%,12%
554,Weber State University,"For Sports Fans, State School","$66,200 ","$108,100 ",60%,12%
555,Adelphi University,"Private School, Research University","$64,500 ","$108,000 ",50%,8%
555,Trinity International University-Illinois,"Private School, Religious, Research University","$55,700 ","$108,000 ",59%,1%
555,Hope College,"Liberal Arts School, Private School, Religious","$61,300 ","$108,000 ",49%,21%
558,University of Washington-Tacoma Campus,State School,"$69,700 ","$107,900 ",49%,32%
558,Minnesota State University-Mankato,State School,"$63,300 ","$107,900 ",53%,13%
558,University of Massachusetts-Boston,"Research University, State School","$65,400 ","$107,900 ",60%,16%
558,Emmanuel College (Massachusetts),"Liberal Arts School, Private School, Religious","$62,100 ","$107,900 ",54%,19%
562,Moravian University,"Liberal Arts School, Private School, Religious","$63,000 ","$107,800 ",48%,12%
563,Southern Illinois University-Carbondale,"Research University, For Sports Fans, State School","$59,700 ","$107,700 ",55%,15%
564,Simmons University,"Private School, Sober School","$66,400 ","$107,600 ",54%,3%
565,Thomas Jefferson University,Private School,"$73,300 ","$107,500 ",67%,4%
566,Rowan University,"Research University, State School","$62,300 ","$107,400 ",44%,22%
566,Embry-Riddle Aeronautical University-Worldwide,Private School,"$70,100 ","$107,400 ",63%,15%
566,University of Providence,"Private School, Religious","$53,900 ","$107,400 ",76%,11%
566,University of New Orleans,"Research University, For Sports Fans, State School","$59,700 ","$107,400 ",54%,28%
570,University of St Thomas (Texas),"Private School, Religious","$61,700 ","$107,300 ",57%,11%
570,National University,Private School,"$66,800 ","$107,300 ",57%,5%
570,Laguna College of Art and Design,"Art, Private School","$68,100 ","$107,300 ",49%,0%
570,University of Nevada-Las Vegas,"Research University, For Sports Fans, State School","$61,500 ","$107,300 ",46%,14%
570,Ottawa University-Kansas City,"Private School, Religious","$59,500 ","$107,300 ",-,23%
575,SUNY College of Technology at Alfred,State School,"$63,000 ","$107,200 ",50%,6%
575,Bellin College,Private School,"$70,900 ","$107,200 ",-,0%
575,Mills College,"Private School, Sober School","$65,100 ","$107,200 ",59%,8%
575,Central College,"Liberal Arts School, Private School, Religious","$63,200 ","$107,200 ",45%,34%
579,Dominican College of Blauvelt,Private School,"$64,800 ","$107,100 ",60%,4%
579,Bard College,"Liberal Arts School, Private School","$60,900 ","$107,100 ",47%,0%
579,Jacksonville University,"Private School, For Sports Fans","$62,100 ","$107,100 ",60%,7%
582,CUNY New York City College of Technology,State School,"$64,000 ","$107,000 ",48%,23%
582,Saint Martin's University,"Engineering, Private School, Religious","$66,800 ","$107,000 ",54%,50%
582,Saint Norbert College,"Liberal Arts School, Private School, Religious","$60,200 ","$107,000 ",43%,18%
582,Sam Houston State University,"Research University, For Sports Fans, State School","$58,300 ","$107,000 ",50%,6%
582,University of Detroit Mercy,"Private School, Religious, For Sports Fans","$63,900 ","$107,000 ",58%,24%
587,Florida International University,"Research University, For Sports Fans, State School","$60,600 ","$106,900 ",53%,18%
587,Simpson College,"Liberal Arts School, Private School, Religious","$61,700 ","$106,900 ",46%,14%
587,Framingham State University,State School,"$61,500 ","$106,900 ",48%,9%
590,Champlain College,Private School,"$63,900 ","$106,800 ",47%,26%
590,Hawaii Pacific University,Private School,"$64,600 ","$106,800 ",65%,12%
590,Southern Illinois University-Edwardsville,"For Sports Fans, State School","$64,000 ","$106,800 ",50%,20%
590,Truman State University,State School,"$59,400 ","$106,800 ",43%,17%
594,University of Lynchburg,"Private School, Religious","$57,800 ","$106,700 ",45%,8%
594,St. John's College (New Mexico),"Liberal Arts School, Private School","$62,500 ","$106,700 ",-,0%
594,AdventHealth University,"Private School, Religious","$64,200 ","$106,700 ",86%,4%
594,University of Illinois Springfield,State School,"$59,700 ","$106,700 ",51%,32%
594,Northern Arizona University,"Research University, For Sports Fans, State School","$61,300 ","$106,700 ",56%,13%
594,University of Louisiana at Lafayette,"Research University, For Sports Fans, State School","$58,600 ","$106,700 ",53%,19%
600,Marymount University,"Private School, Religious","$64,100 ","$106,600 ",51%,20%
600,Western Governors University,Private School,"$67,700 ","$106,600 ",58%,12%
602,Bethany College (West Virginia),"Liberal Arts School, Private School, Religious","$56,300 ","$106,500 ",63%,14%
602,The University of Texas at El Paso,"Research University, For Sports Fans, State School","$57,800 ","$106,500 ",62%,26%
602,Oglethorpe University,"Liberal Arts School, Private School","$62,700 ","$106,500 ",49%,23%
605,Stephen F Austin State University,"For Sports Fans, State School","$56,600 ","$106,400 ",55%,6%
605,The University of Texas Permian Basin,State School,"$65,900 ","$106,400 ",47%,14%
605,Missouri State University-Springfield,"For Sports Fans, State School","$56,300 ","$106,400 ",52%,11%
608,Franciscan University of Steubenville,"Private School, Religious","$59,800 ","$106,300 ",55%,7%
608,Cabrini University,"Private School, Religious","$58,600 ","$106,300 ",48%,6%
608,Florida Atlantic University,"Research University, For Sports Fans, State School","$60,500 ","$106,300 ",48%,16%
608,College for Creative Studies,"Art, Private School","$63,500 ","$106,300 ",35%,0%
612,Ohio State University-Mansfield Campus,State School,"$51,500 ","$106,200 ",-,0%
612,University of New England,Private School,"$59,500 ","$106,200 ",65%,7%
614,Molloy College,"Private School, Religious","$73,800 ","$106,100 ",66%,2%
614,University of Wisconsin-Milwaukee,"Research University, For Sports Fans, State School","$63,000 ","$106,100 ",49%,16%
614,Texas A & M University-Commerce,"Research University, State School","$57,000 ","$106,100 ",47%,11%
617,Bowling Green State University-Main Campus,"Research University, For Sports Fans, State School","$57,800 ","$106,000 ",48%,10%
617,College of Saint Benedict,"Liberal Arts School, Private School, Religious","$60,100 ","$106,000 ",54%,19%
617,Georgetown College,"Liberal Arts School, Private School, Religious","$55,000 ","$106,000 ",65%,9%
617,Thomas More University,"Private School, Religious","$59,500 ","$106,000 ",56%,9%
617,Loyola University New Orleans,"Private School, Religious","$57,200 ","$106,000 ",45%,7%
622,Universidad del Sagrado Corazon,"Private School, Religious","$56,700 ","$105,900 ",52%,4%
622,Franklin College,"Liberal Arts School, Private School, Religious","$61,300 ","$105,900 ",43%,19%
622,Lewis University,"Private School, Religious","$62,900 ","$105,900 ",51%,19%
625,Waynesburg University,"Private School, Religious","$58,000 ","$105,800 ",62%,7%
