Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
67,Yeshiva University,"Private School, Research University","$77,800 ","$145,600 ",31%,9%
68,Virginia Military Institute,"Liberal Arts School, For Sports Fans, State School","$78,200 ","$145,300 ",65%,50%
69,Wake Forest University,"Party School, Private School, Research University, For Sports Fans","$74,100 ","$145,200 ",40%,16%
69,Gettysburg College,"Liberal Arts School, Private School","$72,000 ","$145,200 ",47%,25%
71,United States Coast Guard Academy,"Engineering, State School","$91,400 ","$144,900 ",-,60%
72,Fairfield University,"Private School, Religious, For Sports Fans","$76,900 ","$144,800 ",37%,13%
72,Bentley University,"Business, Private School","$83,200 ","$144,800 ",39%,8%
74,Saint Mary's College of California,"Private School, Religious, For Sports Fans","$72,000 ","$144,600 ",55%,7%
75,University of California-Los Angeles,"Research University, For Sports Fans, State School","$76,000 ","$144,400 ",50%,34%
75,Tufts University,"Private School, Research University","$80,500 ","$144,400 ",46%,28%
75,Boston University,"Private School, Research University, For Sports Fans","$76,300 ","$144,400 ",44%,27%
78,Franklin and Marshall College,"Liberal Arts School, Private School","$70,600 ","$144,300 ",40%,25%
78,New Mexico Institute of Mining and Technology,"Engineering, State School","$79,800 ","$144,300 ",56%,90%
80,Loyola Marymount University,"Private School, Religious, For Sports Fans","$72,300 ","$144,000 ",40%,10%
80,Kettering University,"Engineering, Private School","$86,100 ","$144,000 ",41%,71%
82,University of the Sciences,Private School,"$72,300 ","$143,100 ",76%,21%
82,Maine Maritime Academy,State School,"$79,300 ","$143,100 ",60%,49%
84,Illinois Institute of Technology,"Engineering, Private School, Research University","$79,800 ","$142,900 ",51%,60%
84,MCPHS University,Private School,"$75,800 ","$142,900 ",74%,2%
86,Washington University in St Louis,"Private School, Research University","$80,600 ","$142,800 ",43%,32%
87,University of California-Davis,"Research University, For Sports Fans, State School","$76,200 ","$142,700 ",52%,36%
88,Case Western Reserve University,"Private School, Research University","$81,600 ","$142,300 ",48%,37%
88,Johns Hopkins University,"Private School, Research University","$84,200 ","$142,300 ",55%,35%
90,Boston College,"Private School, Religious, Research University, For Sports Fans","$79,100 ","$142,200 ",44%,17%
91,Trinity College,"Liberal Arts School, Private School","$74,100 ","$141,600 ",52%,22%
92,Carleton College,"Liberal Arts School, Private School","$72,100 ","$141,500 ",50%,45%
92,Missouri University of Science and Technology,"Engineering, Research University, State School","$81,600 ","$141,500 ",52%,79%
94,Northwestern University,"Private School, Research University, For Sports Fans","$78,600 ","$141,300 ",43%,22%
95,Occidental College,"Liberal Arts School, Private School","$69,700 ","$141,100 ",50%,22%
